Headcount;Poverty.Line.Month;Mean;Median;Gini;Population.Density;Consumption;Arab.Region;East.Asia.and.the.Pacific;Europe.and.Central.Asia;Latin.America.and.the.Caribbean;South.Asia;Sub.Saharan.Africa;Urban.Pop;Age.Dependency;Mean_Class.A;Mean_Class.B;Mean_Class.C
24.18;77.030519;135.349700927734;109.794898986816;32.0039391517639;56.3910542970516;1;1;0;0;0;0;0;43.478;83.0105691344499;1;0;0
16.74;84.818995;162.679595947266;128.310394287109;32.7614396810532;67.8241910693656;1;1;0;0;0;0;0;42.75;73.5331660191647;1;0;0
25.2;97.2258;159.960800170898;130.514801025391;30.1914602518082;83.139519815159;1;1;0;0;0;0;0;43.019;59.6147021075962;1;0;0
32.499999;100.70723;153.953094482422;123.776397705078;31.5339505672455;96.8834125269978;1;1;0;0;0;0;0;42.705;63.8363130332394;1;0;0
29.7;95.75;151.891006469727;122.11840057373;31.53395057;100.846929529359;1;1;0;0;0;0;0;42.73;64.2337169671459;1;0;0
20.6;569.46824;1191.873046875;994.0576171875;35.2468401193619;93.1519309613808;0;0;0;1;0;0;0;78.442;46.730008815098;0;1;0
20.7;558.88511;1158.30798339844;977.424499511719;34.7189486026764;93.6697920792501;0;0;0;1;0;0;0;80.321;51.6196951902596;0;1;0
6.3000001;253.95711;869.168090820312;693.18359375;34.5915585756302;30.2402806533241;0;0;0;1;0;0;0;68.269;52.5543989137625;0;1;0
2.2;261.6;1107.52905273438;945.22119140625;30.3214490413666;30.41124914;0;0;0;1;0;0;0;68.88;56.20961758;0;1;0
45.500001;39.764184;64.1273498535156;42.7304496765137;44.5645093917847;57.047908;1;0;0;0;0;0;1;13.827;98.6958664519767;1;0;0
38.699999;58.605832;79.4376220703125;67.0155487060547;29.806849360466;65.7414771362547;1;0;0;0;0;0;1;15.504;98.6428275132746;1;0;0
29.6;52.494745;85.0879135131836;69.4194183349609;33.1705987453461;77.6087684392043;1;0;0;0;0;0;1;17.319;93.1743265219224;1;0;0
23.5;50.762125;94.5757827758789;77.4488525390625;34.9931210279465;89.2923727735845;1;0;0;0;0;0;1;19.428;83.9197236322995;1;0;0
13.699999;789.20489;1500.61401367188;1300.2509765625;27.7140885591507;17.6484106614018;0;0;0;1;0;0;0;83.77;50.9483114065022;0;1;0
11.6;814.65749;1586.47204589844;1382.22204589844;27.3297697305679;18.1479501184522;0;0;0;1;0;0;0;85.382;60.9423994855002;0;1;0
39.8;160.71658;249.119705200195;188.596099853516;38.1020486354828;44.6227148330597;1;0;1;0;0;0;0;48.692;58.0243300136071;1;0;0
35.2;159.63238;278.424011230469;198.103302001953;40.3755903244019;46.2704433497537;1;0;1;0;0;0;0;51.146;52.0961412864538;1;0;0
34;162.72715;271.786987304688;205.072601318359;36.6966009140015;47.3786535303777;1;0;1;0;0;0;0;53.706;52.2440666518927;1;0;0
14;725.32434;1603.42895507812;1306.34594726562;33.7204813957214;118.7593382972;0;0;0;1;0;0;0;78.369;54.6309059178848;0;1;0
13.600001;757.74223;1644.20495605469;1368.45495605469;32.3806911706924;122.299435492561;0;0;0;1;0;0;0;80.444;61.2671434464288;0;1;0
29.899999;108.47361;222.681106567383;163.90950012207;42.3557996749878;151.612857142857;1;0;1;0;0;0;0;22.33;74.651943521048;1;0;0
41.2;102.39792;154.856292724609;117.777000427246;40.0576293468475;151.322857142857;1;0;1;0;0;0;0;22.355;59.0098474840879;1;0;0
32.699999;110.07719;209.979705810547;149.217102050781;42.184990644455;5.39662746924361;1;0;0;0;0;0;1;82.452;78.7441432987769;1;0;0
33.399999;171.40493;295.394897460938;231.614593505859;38.0243688821793;8.01343967089688;1;0;0;0;0;0;1;88.976;67.8042576361545;1;0;0
16;622.3;1372.79797363281;1131.64697265625;34.3899309635162;259.440189310958;0;0;0;1;0;0;0;81.302;51.6650449382949;0;1;0
14.6;615.5;1511.41394042969;1242.11694335938;35.1488292217255;273.049472988054;0;0;0;1;0;0;0;83.143;56.0698960446915;0;1;0
35.4;108.34423;173.650100708008;138.955307006836;37.3794794082642;68.27511459;1;0;0;1;0;0;0;53.605;50.39714411;1;0;0
37.3;111.29198;178.987899780273;138.890899658203;39.4614607095718;66.2496063543161;1;0;0;1;0;0;0;55.535;47.4836185354363;1;0;0
21.600001;108.27328;230.352996826172;181.965698242188;36.503678560257;65.1750586094685;1;0;0;1;0;0;0;57.448;49.9593831389708;1;0;0
19.499999;109.3376;234.575302124023;188.952392578125;35.9486192464828;65.0477623429791;1;0;0;1;0;0;0;59.039;54.0653749697699;1;0;0
50.800002;60.732418;78.5272216796875;59.8121185302734;38.4372293949127;66.8338182297618;1;0;0;0;0;0;1;37.17;88.3571533055468;1;0;0
31.900001;70.615703;137.738998413086;100.289398193359;42.7655398845673;95.8716797046673;1;0;0;0;0;0;1;47.308;77.585949061669;1;0;0
24.2;82.542804;196.090103149414;142.812606811523;42.3732101917267;114.250017579327;1;0;0;0;0;0;1;52.073;71.7731151305344;1;0;0
23.4;82.468851;206.086898803711;151.367095947266;43.5208797454834;125.173358530368;1;0;0;0;0;0;1;54.749;69.6450562685164;1;0;0
40.266;47.67;87.1886520385742;58.1118698120117;46.0816085338593;28.8178251668566;1;0;0;0;0;0;1;29.182;97.6490172697919;1;0;0
49.2;44.97;64.4971771240234;45.1628913879395;43.0041611194611;34.9425118020511;1;0;0;0;0;0;1;31.42;100.572418376536;1;0;0
55.199999;76.430854;86.3746490478516;70.2546997070312;33.7296992540359;43.3502726680775;1;0;0;0;0;0;1;34.255;95.144716670868;1;0;0
69;55.269224;56.2799797058105;36.077018737793;48.5194593667984;122.344367588933;1;0;0;0;0;0;1;46.057;97.5711415682501;1;0;0
48.100001;87.709132;128.952697753906;90.7475967407227;43.568429350853;177.193280632411;1;0;0;0;0;0;1;55.662;91.5838394846071;1;0;0
48.6;114.69135;148.743392944336;115.274002075195;35.9188288450241;206.112648221344;1;0;0;0;0;0;1;59.228;89.2411971080262;1;0;0
